id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
axie-infinity,45,AXS,Axie Infinity,140959792.9338294000000000,270000000.0000000000000000,639814767.9651910727332927,5411579.6370186432628932,4.5389877116628471,0.8236030678338095,4.5246475162579938,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
theta,46,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,638616757.1878843000000000,3785573.0015884847944045,0.6386167571878843,-1.0325990982257028,0.6419452295954014,https://explorer.thetatoken.org/
eos,47,EOS,EOS,1103049756.2476000000000000,,634260889.4822921953520941,31220683.0427045470961468,0.5750065995571650,0.2045701892431186,0.5735418298409082,https://bloks.io/
xinfin-network,48,XDC,XinFin Network,12293293518.5500000000000000,,618570984.2845539293138319,1562005.1827333824855079,0.0503177593011311,10.9010782000957683,0.0490664521097869,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
bitcoin-sv,49,BSV,Bitcoin SV,19266076.6442390500000000,21000000.0000000000000000,606465231.7317001569137191,2914770.7929300982298743,31.4783981674362141,-2.3200184097783254,31.8041688892071297,https://bsvexplorer.io/
elrond-egld,50,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,603095953.7922980293100873,4950384.4363104752086786,24.9372316054295461,1.1070703265687817,24.8439791726010029,https://explorer.elrond.com/
decentraland,51,MANA,Decentraland,1893095370.6427295000000000,,582092352.0596958483900618,10369013.8044425156656752,0.3074817893945133,3.1001189541090368,0.3005084419104257,https://etherscan.io/token/decentraland
render-token,52,RNDR,Render Token,369614008.1087959400000000,536870912.0000000000000000,564540120.2516456470303904,1578916.9829953288669737,1.5273775015731362,-0.8010784030477481,1.5298483273213609,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
injective-protocol,53,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,541831134.6156756534873531,9942555.3398420842915766,7.4217796109935469,2.0032975202762762,7.3856490308514615,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
fantom,54,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,536317102.3816136443051003,13916312.0563346034246405,0.1912934935697073,0.9182294123782172,0.1904520277781390,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
neo,55,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,518618399.5783877616073148,8918585.7614394976333176,7.3522397837637508,-0.3931198683102788,7.3547599675561050,https://neotracker.io
paxos-standard,56,USDP,Pax Dollar,491052716.4506834000000000,,491182728.4630692309720896,2108627.3717591664619617,1.0002647618229781,-0.0282084941113498,,https://etherscan.io/token/0x8e870d67f660d95d5be530380d0ec0bd388289e1
kava,57,KAVA,Kava,776946274.0000000000000000,,487224461.9564585500289754,7302120.1453567572138939,0.6271018708257021,-0.5590729072724587,0.6298776694520532,https://www.mintscan.io/kava
synthetix-network-token,58,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,479658926.1478322755388429,13351191.2016334188061323,2.0523088740171673,-1.2489505808641879,2.0790800062675355,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
ecash,59,XEC,eCash,19502429673093.0000000000000000,21000000000000.0000000000000000,479198261.2100888290598310,2745529.9329039460564952,0.0000245712082670,-2.4703253357488890,0.0000249703711905,https://explorer.bitcoinabc.org/
flow,60,FLOW,Flow,1036200000.0000000000000000,,465249299.5078921390200000,12555037.5667264804747163,0.4489956567341171,0.3588668793374006,0.4483547947689013,https://flowscan.org/
curve-dao-token,61,CRV,Curve DAO Token,879241150.0000000000000000,3303030299.0000000000000000,460312367.9675596315343250,3639190.2529354981794528,0.5235336948999255,-0.5921944349832224,0.5209700908335261,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
kucoin-token,62,KCS,KuCoin Token,96732986.4258510000000000,170118638.0000000000000000,441576807.1140770821646118,606269.6070249259493708,4.5649041079958816,-0.9833236569840757,4.5959553898321265,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
chiliz,63,CHZ,Chiliz,7401879904.8224830000000000,8888888888.0000000000000000,436857226.8106534917633101,16378740.6608220642440005,0.0590197669278627,0.9056583317524852,0.0589293758712314,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
zcash,64,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,435239071.2024746825894288,25969846.9311758934837753,26.6555553357409482,-0.8504875754441496,26.5426768904565431,https://explorer.zcha.in/
frax-share,65,FXS,Frax Share,73689939.5383746600000000,,426883150.6389527025778128,330001.5741663403497437,5.7929637792232098,-3.0362259851984208,6.0134311320937363,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
conflux-network,66,CFX,Conflux,3263600985.4792840000000000,,420389835.8733895849820654,7259392.6955616510691286,0.1288116524488830,3.0527096368510716,0.1270987738621017,http://www.confluxscan.io/
